FileName,Factor,RatioR1,RatioR2,EstTriCount,Exact
delaunay_n10,4,14.9236,3.71112,432,2047
delaunay_n10,8,34.8492,7.07196,241,2047
delaunay_n10,10,44.4164,8.72988,193,2047
delaunay_n10,16,78.0099,14.4419,105,2047
delaunay_n11,4,15.1231,3.74009,892,4104
delaunay_n11,8,35.8265,7.3448,445,4104
delaunay_n11,10,46.3695,9.28223,332,4104
delaunay_n11,16,75.3967,14.8011,222,4104
delaunay_n12,4,15.2043,3.69469,1752,8215
delaunay_n12,8,36.5185,7.27991,878,8215
delaunay_n12,10,46.9618,9.18459,690,8215
delaunay_n12,16,81.1609,14.7164,404,8215
delaunay_n13,4,15.0551,3.69962,3580,16442
delaunay_n13,8,36.0649,7.25963,1784,16442
delaunay_n13,10,46.8235,9.15238,1397,16442
delaunay_n13,16,78.1588,14.6303,884,16442
delaunay_n14,4,14.9946,3.65958,7143,32921
delaunay_n14,8,36.3394,7.22168,3527,32921
delaunay_n14,10,47.5122,9.13803,2727,32921
delaunay_n14,16,79.6926,14.7191,1761,32921
delaunay_n15,4,15.1947,3.68828,14257,65872
delaunay_n15,8,36.5204,7.35142,7151,65872
delaunay_n15,10,47.4448,9.23456,5527,65872
delaunay_n15,16,78.5476,14.5103,3603,65872
delaunay_n16,4,15.1076,3.67803,28466,131842
delaunay_n16,8,36.411,7.32743,14173,131842
delaunay_n16,10,47.1201,9.19693,11329,131842
delaunay_n16,16,79.412,14.7228,7049,131842
delaunay_n17,4,15.0997,3.68491,57353,263620
delaunay_n17,8,36.4516,7.37158,28655,263620
delaunay_n17,10,47.2247,9.23422,22511,263620
delaunay_n17,16,78.7091,14.6595,14435,263620
delaunay_n18,4,15.0968,3.6711,114282,527234
delaunay_n18,8,36.4954,7.34717,57217,527234
delaunay_n18,10,47.3718,9.24445,44780,527234
delaunay_n18,16,79.0713,14.6647,28927,527234
amazon,4,17.3348,3.10603,86189,667259
amazon,8,37.9225,5.97975,32215,667259
amazon,10,48.8499,7.33973,23410,667259
amazon,16,78.621,11.3631,12499,667259
dblp,4,13.1639,2.98271,549091,2225882
dblp,8,28.6244,5.36323,291229,2225882
dblp,10,37.423,6.90564,198261,2225882
dblp,16,65.286,11.2864 ,92243,2225882
ca-HepTh.txt,4,24.5633,2.87303,12371,28677
ca-HepTh.txt,8,49.327,5.15533,7045,28677
ca-HepTh.txt,10,58.4746,5.65885,6963,28677
ca-HepTh.txt,16,113.218,10.7184,2110,28677
ca-CondMat.txt,4,41.9414,3.36889,46357,174578
ca-CondMat.txt,8,82.045,6.1106,23742,174578
ca-CondMat.txt,10,111.302,7.68571,15790,174578
ca-CondMat.txt,16,183.768,12.6055,8401,174578
ca-AstroPh.txt,4,81.2959,3.49274,299117,1374119
ca-AstroPh.txt,8,171.02,6.65556,126642,1374119
ca-AstroPh.txt,10,220.332,8.24122,90900,1374119
ca-AstroPh.txt,16,351.648,13.0498,54805,1374119
email-Enron.txt,4,121.96,3.89956,73161,727044
email-Enron.txt,8,162.163,6.99706,36968,727044
email-Enron.txt,10,168.315,8.59798,30211,727044
email-Enron.txt,16,266.365,13.4971,20342,727044
ca-GrQc.txt,4,16.1803,2.49337,19594,48265
ca-GrQc.txt,8,38.4995,4.48614,8335,48265
ca-GrQc.txt,10,53.2042,5.26536,5982,48265
ca-GrQc.txt,16,95.8561,9.36881,2512,48265
ca-HepPh.txt,4,49.113,2.98983,719112,3345241
ca-HepPh.txt,8,88.8216,4.64033,347160,3345241
ca-HepPh.txt,10,108.956,5.63707,245499,3345241
ca-HepPh.txt,16,201.434,9.25347,112266,3345241
loc-brightKite_edges.txt,4,45.129,5.11833,7525,301812
loc-brightKite_edges.txt,8,90.6821,10.0978,3516,301812
loc-brightKite_edges.txt,10,113.1,12.9046,2830,301812
loc-brightKite_edges.txt,16,182.553,20.3217,1884,301812
