FileName,Factor,HeadEstTriCount,MidEstTriCount,TailEstTriCount,Exact
delaunay_n10,4,98,138,150,2047
delaunay_n10,8,63,72,80,2046
delaunay_n10,16,35,41,41,2044
delaunay_n10,32,20,12,16,2043
delaunay_n10,64,3,3,10,2042
delaunay_n11,4,195,302,294,4104
delaunay_n11,8,95,151,144,4103
delaunay_n11,16,62,71,63,4101
delaunay_n11,32,26,32,29,4100
delaunay_n11,64,12,24,14,4009
delaunay_n12,4,258,607,575,8215
delaunay_n12,8,163,306,293,8214
delaunay_n12,16,90,139,147,8212
delaunay_n12,32,52,78,76,8211
delaunay_n12,64,51,42,32,8210
delaunay_n13,4,646,1160,1197,16442
delaunay_n13,8,335,598,588,16441
delaunay_n13,16,187,297,304,16439
delaunay_n13,32,108,144,153,16438
delaunay_n13,64,68,62,81,16437
delaunay_n14,4,1099,2356,2299,32921
delaunay_n14,8,507,1205,1184,32920
delaunay_n14,16,269,568,579,32918
delaunay_n14,32,135,294,303,32917
delaunay_n14,64,93,144,137,32916
delaunay_n15,4,2085,4571,4585,65872
delaunay_n15,8,943,2335,2320,65871
delaunay_n15,16,486,1140,1159,65869
delaunay_n15,32,265,568,580,65868
delaunay_n15,64,137,282,299,65867
delaunay_n16,4,4168,9648,9510,131842
delaunay_n16,8,2170,4666,4601,131841
delaunay_n16,16,1063,2387,2348,131839
delaunay_n16,32,569,1174,1169,131838
delaunay_n16,64,326,576,580,131837
delaunay_n17,4,8154,18873,18938,263620
delaunay_n17,8,4012,9543,9501,263619
delaunay_n17,16,2132,4595,4773,263617
delaunay_n17,32,1042,2288,2347,263616
delaunay_n17,64,534,1156,1180,263615
delaunay_n18,4,16904,37774,38061,527234
delaunay_n18,8,8155,19005,19107,527233
delaunay_n18,16,4176,9454,9562,527231
delaunay_n18,32,2097,4674,4686,527230
delaunay_n18,64,1004,2369,2348,527229
