FileName,Factor,HeadEstTriCount,MidEstTriCount,TailEstTriCount,Exact
amazon,4,4944,6383,18381,667259
amazon,8,1427,1752,7351,667258
amazon,16,621,617,3614,667256
amazon,32,331,290,2250,667255
amazon,64,177,153,1546,667254
dblp,4,20269,41390,168996,2225882
dblp,8,6876,17043,67782,2225881
dblp,16,2684,4846,20310,2225879
dblp,32,1097,2726,11456,2225878
dblp,64,545,2325,2678,2225877
ca-HepTh.txt,4,1267,1072,3853,28677
ca-HepTh.txt,8,642,591,1741,28676
ca-HepTh.txt,16,456,390,480,28674
ca-HepTh.txt,32,391,267,219,28673
ca-HepTh.txt,64,260,217,157,28672
ca-CondMat.txt,4,7960,10280,12051,174578
ca-CondMat.txt,8,4264,4970,5543,174577
ca-CondMat.txt,16,2862,2847,2655,174575
ca-CondMat.txt,32,1888,1693,1403,174574
ca-CondMat.txt,64,1179,1292,845,174573
ca-AstroPh.txt,4,75594,78234,78855,1374119
ca-AstroPh.txt,8,41331,47387,40395,1374118
ca-AstroPh.txt,16,24828,28244,20468,1374116
ca-AstroPh.txt,32,14984,16692,11128,1374115
ca-AstroPh.txt,64,6450,6507,6322,1374114
email-Enron.txt,4,70077,28783,25933,727044
email-Enron.txt,8,22331,13593,15197,727043
email-Enron.txt,16,11640,8381,5002,727041
email-Enron.txt,32,6681,5212,2392,727040
email-Enron.txt,64,3561,2912,1056,727039
ca-GrQc.txt,4,1193,3374,5300,48265
ca-GrQc.txt,8,671,2131,1096,48264
ca-GrQc.txt,16,346,880,733,48262
ca-GrQc.txt,32,276,694,385,48261
ca-GrQc.txt,64,64,221,150,48260
ca-HepPh.txt,4,118540,74598,187003,3345241
ca-HepPh.txt,8,44937,33404,64281,3345240
ca-HepPh.txt,16,16775,16426,35817,3345238
ca-HepPh.txt,32,3708,6643,8724,3345237
ca-HepPh.txt,64,705,3707,2899,3345236
loc-brightKite_edges.txt,4,12232,4435,2489,301812
loc-brightKite_edges.txt,8,5266,3217,1652,301811
loc-brightKite_edges.txt,16,2579,1673,927,301809
loc-brightKite_edges.txt,32,1061,1335,380,301808
loc-brightKite_edges.txt,64,552,856,280,301807
