Factor,HeadEstTriCount,MidEstTriCount,TailEstTriCount,Exact
4,20269,41390,168996,2225882
8,6876,17043,67782,2225881
16,2684,4846,20310,2225879
32,1097,2726,11456,2225878
64,545,2325,2678,2225877
4,1267,1072,3853,28677
8,642,591,1741,28676
16,456,390,480,28674
32,391,267,219,28673
64,260,217,157,28672
4,7960,10280,12051,174578
8,4264,4970,5543,174577
16,2862,2847,2655,174575
32,1888,1693,1403,174574
64,1179,1292,845,174573
4,75594,78234,78855,1374119
8,41331,47387,40395,1374118
16,24828,28244,20468,1374116
32,14984,16692,11128,1374115
64,6450,6507,6322,1374114
4,70077,28783,25933,727044
8,22331,13593,15197,727043
16,11640,8381,5002,727041
32,6681,5212,2392,727040
64,3561,2912,1056,727039
4,1193,3374,5300,48265
8,671,2131,1096,48264
16,346,880,733,48262
32,276,694,385,48261
64,64,221,150,48260
4,118540,74598,187003,3345241
8,44937,33404,64281,3345240
16,16775,16426,35817,3345238
32,3708,6643,8724,3345237
64,705,3707,2899,3345236
4,12232,4435,2489,301812
8,5266,3217,1652,301811
16,2579,1673,927,301809
32,1061,1335,380,301808
64,552,856,280,301807
